,product,started,closed,winner,price
57,GoPro HERO 9,2022-01-14 11:00:00,2022-01-15 03:43:35,Gomidi,"R$ 84,59"
58,MacBook Air Intel,2022-01-14 22:00:00,2022-01-15 00:25:11,TEOTÔNIO,"R$ 18,19"
59,Pacote 100 Lances,2022-01-14 23:00:00,2022-01-14 23:20:09,João Paulo de Almeida,"R$ 2,46"
60,Refrigerador Brastemp Frost,2022-01-14 13:00:00,2022-01-14 21:59:26,f.panigassi,"R$ 60,40"
61,Patinete Elétrico Maj,2022-01-14 20:00:00,2022-01-14 21:22:24,Kaião 2000,"R$ 8,56"
62,Pacote 100 Lances,2022-01-14 21:00:00,2022-01-14 21:04:13,JuniorHeleno,"R$ 0,80"
63,Apple Watch Series,2022-01-14 20:30:00,2022-01-14 20:41:43,email,"R$ 1,74"
64,Monitor LG LED,2022-01-14 19:00:00,2022-01-14 19:53:06,Selenna,"R$ 7,08"
65,Climatizador de Ar,2022-01-14 19:30:00,2022-01-14 19:50:16,Mcleandrim,"R$ 2,60"
66,Drone Multilaser Eagle,2022-01-14 17:00:00,2022-01-14 18:51:30,Massani Otávio,"R$ 11,76"
67,Pacote 50 Lances,2022-01-14 18:00:00,2022-01-14 18:01:47,Monza Santos,"R$ 0,49"
68,IPhone 13 Pro,2022-01-14 10:00:00,2022-01-14 17:30:34,viniTESTA,"R$ 47,72"
69,Smart TV 75,2022-01-14 16:00:00,2022-01-14 16:39:50,c.frisoni,"R$ 5,61"
70,Pacote 50 Lances,2022-01-14 15:00:00,2022-01-14 15:09:14,bruno.adriano,"R$ 1,87"
71,Smart TV LED,2022-01-14 14:00:00,2022-01-14 14:45:37,vouganhardevc,"R$ 6,17"
72,IPhone 13 Pro,2022-01-12 10:00:00,2022-01-14 14:05:35,email,"R$ 339,59"
73,Pacote 100 Lances,2022-01-14 12:00:00,2022-01-14 12:30:41,IsraelRAlmeida,"R$ 3,76"
74,Pacote 50 Lances,2022-01-14 09:00:00,2022-01-14 09:08:59,IsraelRAlmeida,"R$ 1,18"
75,Patinete Elétrico Foston,2022-01-14 07:00:00,2022-01-14 08:38:40,VéinhoZL,"R$ 8,56"
76,PIX de 1.000,2022-01-14 08:00:00,2022-01-14 08:01:24,Beraldo2000,"R$ 1,51"
77,Pacote 50 Lances,2022-01-14 06:00:00,2022-01-14 06:26:27,Fernando.Carvalho,"R$ 3,17"
78,A Intel Core,2022-01-13 22:00:00,2022-01-14 05:03:54,Kaka-lima31,"R$ 47,52"
79,Pacote 100 Lances,2022-01-13 23:00:00,2022-01-13 23:51:57,Zapai18,"R$ 5,78"
80,Patinete Elétrico Foston,2022-01-13 19:00:00,2022-01-13 22:12:42,Dani_alamo_adv,"R$ 22,31"
81,ban Chris Rb4187l,2022-01-13 19:30:00,2022-01-13 22:04:43,ronnirj,"R$ 14,00"
82,Pacote 100 Lances,2022-01-13 21:00:00,2022-01-13 21:46:13,Marcello P3,"R$ 5,34"
83,Drone Multilaser Eagle,2022-01-13 20:30:00,2022-01-13 21:25:11,Rômulo Riguetto,"R$ 6,29"
84,GoPro HERO 9,2022-01-13 20:00:00,2022-01-13 21:03:15,mantelli,"R$ 6,59"
85,Caixa de Som,2022-01-13 16:00:00,2022-01-13 19:33:39,email,"R$ 22,92"
86,Cervejeira Metalfrio VN50FL,2022-01-13 07:00:00,2022-01-13 18:12:30,vem2022,"R$ 61,54"
87,Pacote 50 Lances,2022-01-13 18:00:00,2022-01-13 18:02:54,Fellippe99,"R$ 0,70"
88,Esteira Ergométrica El,2022-01-13 17:00:00,2022-01-13 17:30:49,Viniciuslealt,"R$ 2,94"
89,IPhone 13 Pro,2022-01-13 10:00:00,2022-01-13 17:07:56,email,"R$ 38,54"
90,Smart TV LED,2022-01-13 14:00:00,2022-01-13 15:49:03,donaonça,"R$ 14,06"
91,Pacote 50 Lances,2022-01-13 15:00:00,2022-01-13 15:37:25,Santo46,"R$ 4,71"
92,GoPro HERO 9,2022-01-13 13:00:00,2022-01-13 14:29:38,FamiliaFaustini,"R$ 8,90"
93,Patinete Elétrico Maj,2022-01-12 16:00:00,2022-01-13 12:13:07,Chiminazzo,"R$ 120,85"
94,Pacote 100 Lances,2022-01-13 12:00:00,2022-01-13 12:09:13,email,"R$ 1,85"
95,Maquina De Gelo,2022-01-13 11:00:00,2022-01-13 11:06:44,Yanno.Carvalho,"R$ 1,00"
96,PIX de 1.000,2022-01-13 08:00:00,2022-01-13 09:30:58,Pacheco123,"R$ 10,42"
97,Pacote 50 Lances,2022-01-13 09:00:00,2022-01-13 09:09:37,email,"R$ 1,21"
98,Pacote 50 Lances,2022-01-13 06:00:00,2022-01-13 06:27:11,Alineal.,"R$ 2,92"
99,Drone Multilaser Eagle,2022-01-12 20:30:00,2022-01-13 01:14:10,keepcalm,"R$ 34,42"
100,5 Digital Edition,2022-01-12 20:00:00,2022-01-12 23:53:26,r.angeloni,"R$ 26,30"
101,Cervejeira Metalfrio VN50FL,2022-01-12 19:00:00,2022-01-12 23:07:10,Arquimedes60,"R$ 24,30"
102,Pacote 100 Lances,2022-01-12 23:00:00,2022-01-12 23:05:29,Junior8734,"R$ 1,16"
103,MacBook Air Intel,2022-01-12 22:00:00,2022-01-12 22:44:52,GIL_DESPACHANTE,"R$ 6,15"
104,Pacote 100 Lances,2022-01-12 21:00:00,2022-01-12 21:19:45,10333586654,"R$ 2,77"
105,PIX de 200,2022-01-12 19:30:00,2022-01-12 20:08:14,Amor12344321,"R$ 5,71"
106,Pacote 50 Lances,2022-01-12 18:00:00,2022-01-12 18:10:35,GabyApolinario,"R$ 1,87"
107,Caixa de Som,2022-01-12 17:00:00,2022-01-12 18:10:23,analisando,"R$ 9,45"
108,Pacote 50 Lances,2022-01-12 15:00:00,2022-01-12 15:20:08,omisadee,"R$ 3,65"
109,Caixa de Som,2022-01-12 14:00:00,2022-01-12 14:43:52,Leafar21,"R$ 6,02"
110,iPad Air 10,2022-01-12 13:00:00,2022-01-12 14:12:44,Doniton,"R$ 9,31"
111,Pacote 100 Lances,2022-01-12 12:00:00,2022-01-12 14:08:09,dillas,"R$ 15,05"
112,A Intel Core,2022-01-11 22:00:00,2022-01-12 12:27:14,CalazansMG,"R$ 78,99"
113,f15 core i7,2022-01-12 11:00:00,2022-01-12 11:19:13,Emerson Viegas,"R$ 4,12"
114,PIX de 1.000,2022-01-12 08:00:00,2022-01-12 09:34:19,Lima Lanches BH,"R$ 11,24"
115,Pacote 50 Lances,2022-01-12 09:00:00,2022-01-12 09:10:59,email,"R$ 1,60"
116,Câmera Insta360 One,2022-01-12 07:00:00,2022-01-12 07:55:44,Lima Lanches BH,"R$ 5,75"
117,IPhone 13 Pro,2022-01-11 10:00:00,2022-01-12 06:59:54,email,"R$ 161,71"
118,Pacote 50 Lances,2022-01-12 06:00:00,2022-01-12 06:02:03,Fran70,"R$ 1,28"
119,Smart TV LED,2022-01-11 19:30:00,2022-01-12 00:35:26,MadeleineSilva,"R$ 31,89"
120,Pacote 100 Lances,2022-01-11 23:00:00,2022-01-11 23:06:58,email,"R$ 1,38"
121,Pacote 100 Lances,2022-01-11 21:00:00,2022-01-11 22:39:01,Hjrocha,"R$ 12,00"
122,Patinete Elétrico Maj,2022-01-11 20:00:00,2022-01-11 21:44:28,Ratones,"R$ 12,41"
123,Drone Multilaser Eagle,2022-01-11 20:30:00,2022-01-11 21:34:26,eusouomat,"R$ 7,47"
124,Smart TV LED,2022-01-11 16:00:00,2022-01-11 19:23:47,Cidão Osasco,"R$ 18,90"
125,PIX de 1.000,2022-01-11 14:00:00,2022-01-11 19:23:36,@mairos_bauru,"R$ 35,76"
126,Parafusadeira e Furadeira,2022-01-11 19:00:00,2022-01-11 19:23:35,Geovateixeira032,"R$ 5,09"
127,Refrigerador Brastemp Frost,2022-01-11 17:00:00,2022-01-11 18:36:43,ricardomonti,"R$ 11,66"
128,Pacote 50 Lances,2022-01-11 18:00:00,2022-01-11 18:06:29,talitajennifer,"R$ 1,35"
129,Mini Ar Condicionado,2022-01-11 11:00:00,2022-01-11 15:36:08,Eduardomad,"R$ 29,80"
130,Pacote 50 Lances,2022-01-11 15:00:00,2022-01-11 15:08:16,lazimbx,"R$ 1,39"
131,Pacote 100 Lances,2022-01-11 12:00:00,2022-01-11 13:41:20,papudinhos,"R$ 12,47"
132,Apple Watch Series,2022-01-11 13:00:00,2022-01-11 13:28:24,Deila_Costa_EUA,"R$ 3,99"
