,product,started,closed,winner,price
0,Pacote 100 Lances,2021-12-18 23:00:00,2021-12-18 23:14:37,email,"R$ 1,73"
1,MacBook Air Intel,2021-12-18 22:00:00,2021-12-18 22:53:51,Eng.Brunno22,"R$ 5,45"
2,Pacote 100 Lances,2021-12-18 21:00:00,2021-12-18 21:42:30,papudinhos,"R$ 3,80"
3,Fone Bose Quietcomfort,2021-12-18 20:30:00,2021-12-18 20:46:48,hegon,"R$ 1,66"
4,Liquidificador Philips Walita,2021-12-18 19:30:00,2021-12-18 19:50:10,Fazendeira,"R$ 2,33"
5,Caixa de Som,2021-12-18 17:00:00,2021-12-18 19:15:29,laurataciana,"R$ 13,71"
6,5 Digital Edition,2021-12-18 14:00:00,2021-12-18 19:09:15,sidmarques,"R$ 31,52"
7,Pacote 50 Lances,2021-12-18 18:00:00,2021-12-18 18:02:33,miriacosta,"R$ 0,46"
8,A Intel Core,2021-12-15 22:00:00,2021-12-18 16:24:36,email,"R$ 373,77"
9,Pacote 50 Lances,2021-12-18 15:00:00,2021-12-18 15:11:59,avaloy,"R$ 1,81"
10,Patinete Elétrico Foston,2021-12-18 13:00:00,2021-12-18 14:59:11,inovart,"R$ 11,79"
11,Pacote 100 Lances,2021-12-18 12:00:00,2021-12-18 14:17:46,papudinhos,"R$ 16,02"
12,iPad Air 10,2021-12-18 11:00:00,2021-12-18 13:43:40,R.Possebon,"R$ 16,41"
13,IPhone 13 Pro,2021-12-18 10:00:00,2021-12-18 12:17:32,Mazzeto_Sjc,"R$ 23,29"
14,Pacote 50 Lances,2021-12-18 09:00:00,2021-12-18 09:01:19,Aventureiro.,"R$ 0,36"
15,Notebook Dell Core,2021-12-18 08:00:00,2021-12-18 08:29:04,marcobonazi,"R$ 4,59"
16,Bicicleta Aro 29,2021-12-18 07:00:00,2021-12-18 07:15:09,EmersonSoriani,"R$ 2,46"
17,Pacote 50 Lances,2021-12-18 06:00:00,2021-12-18 06:19:51,Cerqueira87,"R$ 2,92"
18,Smart TV 75,2021-12-17 16:00:00,2021-12-18 03:17:29,DomFidalgo,"R$ 71,22"
19,Aparador Philips Multigroom,2021-12-17 20:30:00,2021-12-18 00:11:12,Luiscma96,"R$ 25,96"
20,A Intel Core,2021-12-17 22:00:00,2021-12-18 00:03:53,LaminadosSP,"R$ 13,93"
21,Pacote 100 Lances,2021-12-17 23:00:00,2021-12-17 23:01:34,wolffang,"R$ 0,67"
22,Pacote 100 Lances,2021-12-17 21:00:00,2021-12-17 21:41:45,Caetanobezerra,"R$ 8,23"
23,5 Digital Edition,2021-12-17 19:00:00,2021-12-17 21:13:58,Papelariadavila,"R$ 15,87"
24,Cafeteira Dolce Gusto,2021-12-17 17:00:00,2021-12-17 20:47:37,Luiscma96,"R$ 19,98"
25,Patinete Elétrico Maj,2021-12-17 20:00:00,2021-12-17 20:46:57,342.122.832-33,"R$ 6,53"
26,GoPro HERO 9,2021-12-17 19:30:00,2021-12-17 20:17:31,RobertDaikan,"R$ 4,70"
27,Pacote 50 Lances,2021-12-17 18:00:00,2021-12-17 18:03:31,Bloservo,"R$ 1,14"
28,Apple Watch Series,2021-12-17 07:00:00,2021-12-17 16:34:21,Edu_Nunes,"R$ 45,73"
29,Caixa de Som,2021-12-17 13:00:00,2021-12-17 16:03:15,SÁBIO,"R$ 18,01"
30,Pacote 50 Lances,2021-12-17 15:00:00,2021-12-17 15:17:26,Karluz786,"R$ 2,69"
31,Patinete Elétrico Foston,2021-12-17 14:00:00,2021-12-17 14:59:16,álvarolutter,"R$ 5,72"
32,Drone Multilaser Eagle,2021-12-17 11:00:00,2021-12-17 12:13:23,c.frisoni,"R$ 7,74"
33,Pacote 100 Lances,2021-12-17 12:00:00,2021-12-17 12:02:44,email,"R$ 0,78"
34,IPhone 13 Pro,2021-12-17 10:00:00,2021-12-17 10:38:03,Daniel de Santi,"R$ 6,11"
35,Pacote 50 Lances,2021-12-17 09:00:00,2021-12-17 09:12:21,alexandre78m,"R$ 1,65"
36,Cervejeira Metalfrio VN50FL,2021-12-17 08:00:00,2021-12-17 08:49:58,Bennício,"R$ 5,48"
37,Pacote 50 Lances,2021-12-17 06:00:00,2021-12-17 06:00:15,VinnySa,"R$ 0,76"
38,PIX de 1.000,2021-12-16 20:30:00,2021-12-17 01:29:46,Lima Lanches BH,"R$ 34,22"
39,Pacote 100 Lances,2021-12-16 23:00:00,2021-12-16 23:25:34,Gortari,"R$ 2,72"
40,Pacote 100 Lances,2021-12-16 21:00:00,2021-12-16 22:48:36,papudinhos,"R$ 11,91"
41,MacBook Air Intel,2021-12-16 22:00:00,2021-12-16 22:30:23,Adélio_M_Salles,"R$ 4,69"
42,Smart TV 75,2021-12-16 20:00:00,2021-12-16 21:46:09,@gevamoreira77,"R$ 13,79"
43,Caixa de Som,2021-12-16 19:30:00,2021-12-16 19:51:47,email,"R$ 2,65"
44,Refrigerador Brastemp Frost,2021-12-16 19:00:00,2021-12-16 19:33:12,sachetti,"R$ 6,40"
45,5 Digital Edition,2021-12-16 16:00:00,2021-12-16 19:09:32,xandytimão,"R$ 22,27"
46,IPhone 13 Pro,2021-12-15 10:00:00,2021-12-16 18:41:17,EDU_VOGT,"R$ 221,19"
47,Pacote 50 Lances,2021-12-16 18:00:00,2021-12-16 18:06:42,Hoyycellio07,"R$ 1,49"
48,Patinete Elétrico Foston,2021-12-16 17:00:00,2021-12-16 17:53:31,xandytimão,"R$ 5,12"
49,Smart TV LED,2021-12-16 13:00:00,2021-12-16 17:12:08,RCJardins,"R$ 26,02"
50,Drone Multilaser Eagle,2021-12-16 14:00:00,2021-12-16 16:12:56,Phillipi,"R$ 11,46"
51,Pacote 50 Lances,2021-12-16 15:00:00,2021-12-16 15:20:58,TenhoMilharesLances,"R$ 2,50"
52,Aspirador Robô Mondial,2021-12-16 11:00:00,2021-12-16 12:53:48,Adlerr,"R$ 10,64"
53,Pacote 100 Lances,2021-12-16 12:00:00,2021-12-16 12:19:21,lourisvania,"R$ 2,60"
54,IPhone 13 Pro,2021-12-16 10:00:00,2021-12-16 11:32:40,Fabiomonti7,"R$ 10,32"
55,Pacote 50 Lances,2021-12-16 09:00:00,2021-12-16 09:09:28,skalibur,"R$ 1,15"
56,Cama Box Colch,2021-12-16 08:00:00,2021-12-16 08:58:09,Eng.Brunno22,"R$ 6,26"
57,Caixa de Som,2021-12-16 07:00:00,2021-12-16 07:55:30,Kezio__,"R$ 6,03"
58,Pacote 50 Lances,2021-12-16 06:00:00,2021-12-16 06:41:14,Dionisio0209,"R$ 4,17"
59,Honda CG 160,2021-12-15 20:00:00,2021-12-16 06:18:18,BASALTOMINAS,"R$ 52,43"
60,Caixa de Som,2021-12-15 20:30:00,2021-12-15 23:43:36,papudinhos,"R$ 15,31"
61,Pacote 100 Lances,2021-12-15 23:00:00,2021-12-15 23:24:10,Eliedu99472811,"R$ 2,82"
62,Smart TV 75,2021-12-15 16:00:00,2021-12-15 22:31:56,CarlaEtna,"R$ 51,31"
63,Pacote 100 Lances,2021-12-15 21:00:00,2021-12-15 21:39:32,Cartoloco,"R$ 5,76"
64,GoPro HERO 9,2021-12-15 19:00:00,2021-12-15 20:43:49,bel chinaglia,"R$ 9,54"
65,Impressora Canon Pixma,2021-12-15 19:30:00,2021-12-15 20:39:21,Juan Christopher,"R$ 6,65"
66,Pacote 50 Lances,2021-12-15 18:00:00,2021-12-15 18:09:52,TallitaRP,"R$ 1,98"
67,Lava E Seca,2021-12-15 17:00:00,2021-12-15 17:30:42,deixa co pai,"R$ 6,12"
68,Esteira Ergométrica El,2021-12-15 13:00:00,2021-12-15 17:16:58,r.marconato,"R$ 26,98"
69,5 Polegadas Vermelho,2021-12-15 14:00:00,2021-12-15 15:45:40,Valentinn,"R$ 12,11"
70,Pacote 50 Lances,2021-12-15 15:00:00,2021-12-15 15:17:31,lourisvania,"R$ 3,15"
71,Chaise Hungria Trama,2021-12-15 11:00:00,2021-12-15 12:40:18,Eng.Brunno22,"R$ 12,34"
72,Pacote 100 Lances,2021-12-15 12:00:00,2021-12-15 12:30:14,LDutilitários,"R$ 4,59"
73,Caixa de Som,2021-12-15 07:00:00,2021-12-15 11:45:12,Eduardomad,"R$ 29,62"
74,Pacote 50 Lances,2021-12-15 09:00:00,2021-12-15 09:02:03,Patrick Teixeira,"R$ 0,49"
75,Patinete Elétrico Foston,2021-12-15 08:00:00,2021-12-15 08:14:40,LaminadosSP,"R$ 2,21"
76,Pacote 50 Lances,2021-12-15 06:00:00,2021-12-15 06:14:07,Max865,"R$ 2,10"
77,PIX de 500,2021-12-14 19:30:00,2021-12-15 02:42:18,JÔVA,"R$ 44,71"
78,Pacote 100 Lances,2021-12-14 23:00:00,2021-12-14 23:24:43,Bentos 01,"R$ 3,45"
79,Fone Bose Quietcomfort,2021-12-14 20:00:00,2021-12-14 22:55:56,SONHADOR11,"R$ 15,37"
80,Pacote 100 Lances,2021-12-14 21:00:00,2021-12-14 22:18:07,papudinhos,"R$ 8,85"
81,MacBook Air Intel,2021-12-14 22:00:00,2021-12-14 22:07:22,email,"R$ 2,95"
82,Climatizador de Ar,2021-12-14 20:30:00,2021-12-14 20:41:56,Luiscma96,"R$ 1,78"
83,Apple Watch Series,2021-12-14 17:00:00,2021-12-14 19:47:47,R.E.N.A.T.O,"R$ 18,20"
84,GoPro HERO 9,2021-12-14 13:00:00,2021-12-14 19:13:32,Blinders,"R$ 37,37"
85,Drone Multilaser Eagle,2021-12-14 19:00:00,2021-12-14 19:11:14,r.angeloni,"R$ 1,92"
