,product,started,closed,winner,price
0,PIX de 200,2021-10-19 20:30:00,2021-10-19 22:28:11,Luiscma96,"R$ 19,84"
1,Pacote 100 Lances,2021-10-19 21:00:00,2021-10-19 21:48:40,Maxave2005,"R$ 7,29"
2,5 Digital Edition,2021-10-19 20:00:00,2021-10-19 21:13:05,san_silva,"R$ 11,36"
3,Cervejeira Metalfrio VN50FL,2021-10-19 19:00:00,2021-10-19 21:09:03,f.panigassi,"R$ 13,45"
4,MacBook Air Intel,2021-10-18 22:00:00,2021-10-19 20:40:04,MARTEL0,"R$ 137,13"
5,Climatizador de Ar,2021-10-19 19:30:00,2021-10-19 20:10:02,Divina Flor,"R$ 4,74"
6,Samsung Galaxy S20,2021-10-19 16:00:00,2021-10-19 18:51:08,Renatovilas,"R$ 22,29"
7,Pacote 50 Lances,2021-10-19 18:00:00,2021-10-19 18:11:48,Matheusvpm,"R$ 2,36"
8,PIX de 1.000,2021-10-19 11:00:00,2021-10-19 17:14:04,email,"R$ 40,93"
9,Patinete Elétrico Foston,2021-10-19 17:00:00,2021-10-19 17:04:10,waltz221,"R$ 1,85"
10,Pacote 50 Lances,2021-10-19 15:00:00,2021-10-19 15:47:23,Cleberal,"R$ 5,79"
11,Maquina De Gelo,2021-10-19 14:00:00,2021-10-19 15:47:23,DonaOnça,"R$ 10,99"
12,GoPro HERO 9,2021-10-19 13:00:00,2021-10-19 13:29:07,chicosá,"R$ 3,33"
13,iPhone 12 Pro,2021-10-19 10:00:00,2021-10-19 12:17:58,LaminadosSP,"R$ 18,25"
14,Pacote 100 Lances,2021-10-19 12:00:00,2021-10-19 12:04:18,julio0808,"R$ 1,42"
15,Apple Watch Series,2021-10-19 08:00:00,2021-10-19 10:08:25,@deixacomigo,"R$ 13,23"
16,Pacote 50 Lances,2021-10-19 09:00:00,2021-10-19 09:34:41,g_gutierres,"R$ 4,42"
17,Drone Profissional Gw83,2021-10-19 07:00:00,2021-10-19 07:39:08,PieroSimasSouto,"R$ 4,84"
