,product,started,closed,winner,price
0,A Intel Core,2021-09-19 22:00:00,2021-09-19 22:43:07,email,"R$ 6,73"
1,Pacote 100 Lances,2021-09-19 21:00:00,2021-09-19 22:13:50,email,"R$ 10,74"
2,Parafusadeira e Furadeira,2021-09-19 19:30:00,2021-09-19 21:06:12,Gilliardd,"R$ 13,84"
3,Aspirador Robô Mondial,2021-09-19 17:00:00,2021-09-19 20:45:44,j.menezes,"R$ 28,58"
4,Patinete Elétrico Foston,2021-09-19 19:00:00,2021-09-19 19:46:03,ramoni,"R$ 6,39"
5,Pacote 50 Lances,2021-09-19 18:00:00,2021-09-19 18:27:44,Lucas200300,"R$ 4,45"
6,Pacote 50 Lances,2021-09-19 15:00:00,2021-09-19 15:00:15,walterclance,"R$ 1,51"
7,5 Digital Edition,2021-09-19 13:00:00,2021-09-19 14:59:44,Fabiomonti7,"R$ 23,17"
8,Cadeira de escrit,2021-09-19 14:00:00,2021-09-19 14:59:26,Rudney10,"R$ 11,02"
9,MacBook Air Intel,2021-09-18 22:00:00,2021-09-19 12:44:17,marcelolatam,"R$ 92,23"
10,Pacote 100 Lances,2021-09-19 12:00:00,2021-09-19 12:29:06,Janainajulia,"R$ 4,15"
11,Apple Watch Series,2021-09-19 11:00:00,2021-09-19 12:22:34,cadumusic,"R$ 8,81"
12,PIX de 200,2021-09-19 08:00:00,2021-09-19 10:26:28,TigreSL,"R$ 16,09"
13,iPhone 12 Pro,2021-09-19 10:00:00,2021-09-19 10:18:46,dontstop_,"R$ 7,19"
14,Pacote 50 Lances,2021-09-19 09:00:00,2021-09-19 09:14:28,Janainajulia,"R$ 1,93"
15,Cama Box Colch,2021-09-19 07:00:00,2021-09-19 08:31:36,p.vignolli,"R$ 9,31"
16,Pacote 50 Lances,2021-09-19 06:00:00,2021-09-19 06:05:33,Sabrina almeida,"R$ 1,62"
17,5 Digital Edition,2021-09-18 13:00:00,2021-09-19 04:19:03,Lewan21,"R$ 102,56"
18,Cervejeira Metalfrio VN50FL,2021-09-18 19:00:00,2021-09-19 04:05:33,Edu_96,"R$ 45,92"
19,Pacote 100 Lances,2021-09-18 23:00:00,2021-09-18 23:08:40,morcego931,"R$ 2,37"
20,Smart TV 75,2021-09-18 20:00:00,2021-09-18 22:27:41,sai pra lá,"R$ 21,00"
21,Pacote 100 Lances,2021-09-18 21:00:00,2021-09-18 21:25:48,Prado1513,"R$ 4,74"
22,f15 core i7,2021-09-18 20:30:00,2021-09-18 20:54:13,waltz221,"R$ 6,57"
23,PIX de 500,2021-09-18 19:30:00,2021-09-18 20:34:34,Ezath,"R$ 10,43"
24,Apple Watch Series,2021-09-18 17:00:00,2021-09-18 18:01:42,inovart,"R$ 7,47"
25,Pacote 50 Lances,2021-09-18 18:00:00,2021-09-18 18:01:20,email,"R$ 1,16"
26,Patinete Elétrico Maj,2021-09-18 16:00:00,2021-09-18 16:42:23,RCJardins,"R$ 6,64"
27,Pacote 50 Lances,2021-09-18 15:00:00,2021-09-18 15:49:23,valter*2704,"R$ 6,91"
28,Mochila Nike Sportswear,2021-09-18 14:00:00,2021-09-18 15:10:50,Thiagog923,"R$ 8,50"
29,Lava E Seca,2021-09-18 11:00:00,2021-09-18 14:38:35,Jediel_Londrina,"R$ 25,74"
30,Pacote 100 Lances,2021-09-18 12:00:00,2021-09-18 12:36:57,Lucas.granato,"R$ 5,52"
31,iPhone 12 Pro,2021-09-17 10:00:00,2021-09-18 11:47:07,email,"R$ 186,51"
32,PIX de 1.000,2021-09-18 08:00:00,2021-09-18 10:23:48,wander_som,"R$ 17,22"
33,iPhone 12 Pro,2021-09-18 10:00:00,2021-09-18 10:08:32,FabioTrader,"R$ 4,10"
34,Caixa de Som,2021-09-18 07:00:00,2021-09-18 09:24:19,Val_Duprat,"R$ 15,02"
35,Pacote 50 Lances,2021-09-18 09:00:00,2021-09-18 09:03:05,email,"R$ 1,15"
36,Pacote 50 Lances,2021-09-18 06:00:00,2021-09-18 06:02:30,Jose Amaral,"R$ 1,85"
37,A Intel Core,2021-09-17 22:00:00,2021-09-18 01:51:41,h9_silva_souto,"R$ 23,42"
38,Cervejeira Metalfrio VN50FL,2021-09-17 19:00:00,2021-09-18 00:06:48,BellaMMN,"R$ 31,00"
39,Pacote 100 Lances,2021-09-17 23:00:00,2021-09-17 23:07:26,SarahGardenia,"R$ 1,78"
40,Pacote 100 Lances,2021-09-17 21:00:00,2021-09-17 21:19:45,email,"R$ 3,19"
41,Smart TV LED,2021-09-17 20:00:00,2021-09-17 21:09:23,Lilibonelli,"R$ 11,90"
42,PIX de 1.000,2021-09-17 20:30:00,2021-09-17 20:53:14,rodolfotozy,"R$ 5,25"
43,Caixa de Som,2021-09-17 19:30:00,2021-09-17 20:06:32,Hberingela,"R$ 5,38"
