,product,started,closed,winner,price
0,MacBook Air Intel,2022-01-30 22:00:00,2022-01-31 02:41:39,Ermenegildo,"R$ 31,91"
1,Bicicleta Ergométrica Polimet,2022-01-30 19:30:00,2022-01-30 23:25:15,BAR_BOSA,"R$ 22,24"
2,Pacote 100 Lances,2022-01-30 23:00:00,2022-01-30 23:07:27,123Bruno,"R$ 1,85"
3,Patinete Elétrico Maj,2022-01-30 20:00:00,2022-01-30 22:53:24,floracarolina,"R$ 18,11"
4,Refrigerador Brastemp Frost,2022-01-30 17:00:00,2022-01-30 22:23:56,Pipo__,"R$ 37,62"
5,Pacote 100 Lances,2022-01-30 21:00:00,2022-01-30 21:21:18,Netherstom,"R$ 3,23"
6,Hoverboard Smart Balance,2022-01-30 19:00:00,2022-01-30 21:04:20,Takarinho,"R$ 12,05"
7,Smart TV 75,2022-01-30 16:00:00,2022-01-30 20:08:57,Salberg00,"R$ 29,47"
8,IPhone 13 Pro,2022-01-30 10:00:00,2022-01-30 18:43:36,Agamenon07,"R$ 60,00"
9,Pacote 50 Lances,2022-01-30 18:00:00,2022-01-30 18:06:01,DIAVEL,"R$ 1,30"
10,GoPro HERO 9,2022-01-30 13:00:00,2022-01-30 16:58:28,vieirabarreto,"R$ 18,69"
11,Pacote 50 Lances,2022-01-30 15:00:00,2022-01-30 15:37:41,Erickson08,"R$ 5,10"
12,Climatizador de Ar,2022-01-30 14:00:00,2022-01-30 14:35:01,Tati1122,"R$ 5,21"
13,Pacote 100 Lances,2022-01-30 12:00:00,2022-01-30 13:36:37,FernandoPereira123,"R$ 11,55"
14,iPad Air 10,2022-01-30 07:00:00,2022-01-30 12:24:28,ugan_silva,"R$ 30,57"
15,Computador Completo Monitor,2022-01-30 11:00:00,2022-01-30 11:34:51,brabo.,"R$ 5,33"
16,PIX de 1.000,2022-01-30 08:00:00,2022-01-30 11:29:26,VACINADO,"R$ 21,57"
17,A Intel Core,2022-01-29 22:00:00,2022-01-30 10:24:34,email,"R$ 84,18"
18,Pacote 50 Lances,2022-01-30 09:00:00,2022-01-30 09:05:19,Kitut321,"R$ 0,88"
19,Câmera Insta360 One,2022-01-29 13:00:00,2022-01-30 08:48:42,inajar,"R$ 102,72"
20,Pacote 50 Lances,2022-01-30 06:00:00,2022-01-30 06:07:18,Daniele.p,"R$ 1,40"
21,Maquina De Gelo,2022-01-29 20:30:00,2022-01-30 01:21:57,Ermenegildo,"R$ 33,18"
22,5 Digital Edition,2022-01-29 11:00:00,2022-01-30 01:01:17,Camponazzi,"R$ 91,95"
23,Pacote 100 Lances,2022-01-29 23:00:00,2022-01-29 23:34:11,Osni1111,"R$ 4,83"
24,Smart TV LED,2022-01-29 16:00:00,2022-01-29 22:17:02,C ZAGUINI,"R$ 39,94"
25,Pacote 100 Lances,2022-01-29 21:00:00,2022-01-29 21:25:15,Franciley,"R$ 4,07"
26,f15 core i7,2022-01-29 20:00:00,2022-01-29 20:49:28,signorelli7,"R$ 7,54"
27,Refrigerador Brastemp Frost,2022-01-29 19:00:00,2022-01-29 19:46:15,email,"R$ 6,14"
28,Patinete Elétrico Foston,2022-01-29 19:30:00,2022-01-29 19:34:58,Vitera,"R$ 1,41"
29,Pacote 50 Lances,2022-01-29 18:00:00,2022-01-29 18:27:42,multiplanos,"R$ 3,21"
30,Esteira Ergométrica El,2022-01-29 17:00:00,2022-01-29 17:01:12,email,"R$ 0,96"
31,Pacote 50 Lances,2022-01-29 15:00:00,2022-01-29 15:36:47,Expressodoamorr,"R$ 5,34"
32,Professional Gaming Headset,2022-01-29 14:00:00,2022-01-29 14:53:24,Lorini12,"R$ 7,18"
33,Pacote 100 Lances,2022-01-29 12:00:00,2022-01-29 12:32:34,email,"R$ 5,15"
34,IPhone 13 Pro,2022-01-29 10:00:00,2022-01-29 11:27:15,Fabiano_Nigro,"R$ 14,07"
35,PIX de 1.000,2022-01-29 08:00:00,2022-01-29 10:45:36,Chiminazzo,"R$ 20,31"
36,Pacote 50 Lances,2022-01-29 09:00:00,2022-01-29 09:03:05,maxwkoehler,"R$ 0,68"
37,Caixa de Som,2022-01-29 07:00:00,2022-01-29 07:18:09,waltz221,"R$ 3,53"
38,Patinete Elétrico Foston,2022-01-28 19:00:00,2022-01-29 07:03:20,beninho,"R$ 62,19"
39,Pacote 50 Lances,2022-01-29 06:00:00,2022-01-29 06:41:48,Mcmota3,"R$ 5,28"
40,Smart TV LED,2022-01-28 16:00:00,2022-01-29 04:15:02,Pedrinhomistral,"R$ 86,29"
41,Lava E Seca,2022-01-28 17:00:00,2022-01-29 03:05:20,hegon,"R$ 58,69"
42,MacBook Air Intel,2022-01-28 22:00:00,2022-01-29 02:07:11,Massani Otávio,"R$ 28,91"
