,product,started,closed,winner,price
57,GoPro HERO 9,2021-09-29 13:00:00,2021-09-29 17:58:05,VACINADO,"R$ 31,40"
58,Patinete Elétrico Maj,2021-09-28 20:00:00,2021-09-29 17:02:03,S.A.T.O,"R$ 147,67"
59,Honda CG 160,2021-09-29 16:00:00,2021-09-29 16:33:19,c.frisoni,"R$ 8,05"
60,Pacote 50 Lances,2021-09-29 15:00:00,2021-09-29 15:37:01,Sangiovese,"R$ 5,88"
61,Perfume Dolce e,2021-09-29 14:00:00,2021-09-29 14:25:17,adelinoalberto,"R$ 3,60"
62,iPhone 12 Pro,2021-09-29 10:00:00,2021-09-29 14:01:40,lilibonelli,"R$ 29,56"
63,Pacote 100 Lances,2021-09-29 12:00:00,2021-09-29 12:34:12,Rodeio,"R$ 5,51"
64,Câmera Insta360 One,2021-09-29 11:00:00,2021-09-29 12:16:43,Japy.,"R$ 7,65"
65,PIX de 1.000,2021-09-29 08:00:00,2021-09-29 11:32:50,BAHIAN0,"R$ 71,84"
66,Pacote 50 Lances,2021-09-29 09:00:00,2021-09-29 09:10:26,Clenilson08,"R$ 1,40"
67,MacBook Air Intel,2021-09-28 22:00:00,2021-09-29 07:15:14,Ramoni,"R$ 65,92"
68,Pacote 50 Lances,2021-09-29 06:00:00,2021-09-29 06:03:03,email,"R$ 1,43"
69,Smart TV 75,2021-09-28 16:00:00,2021-09-29 03:38:06,gilmarques_silva3,"R$ 113,98"
70,5 Digital Edition,2021-09-28 13:00:00,2021-09-29 02:05:50,Rapha_Zanetti_SP,"R$ 104,02"
71,Pacote 100 Lances,2021-09-28 23:00:00,2021-09-29 00:06:04,email,"R$ 9,94"
72,iPhone 12 Pro,2021-09-28 10:00:00,2021-09-28 22:36:29,email,"R$ 183,18"
73,Pipoqueira Classic Retr,2021-09-28 19:30:00,2021-09-28 21:30:42,alvarengaa,"R$ 13,77"
74,Pacote 100 Lances,2021-09-28 21:00:00,2021-09-28 21:02:28,Ricamil.,"R$ 1,16"
75,GoPro HERO 9,2021-09-28 20:30:00,2021-09-28 21:02:27,gildodespachante,"R$ 3,78"
76,Caixa de Som,2021-09-28 19:00:00,2021-09-28 19:15:12,FERNANDOSANTI,"R$ 3,42"
77,Pacote 50 Lances,2021-09-28 18:00:00,2021-09-28 18:15:06,Jaqueewadi,"R$ 2,67"
78,f15 core i7,2021-09-28 17:00:00,2021-09-28 17:11:39,Joelson moniz,"R$ 6,18"
79,Drone Multilaser Eagle,2021-09-28 11:00:00,2021-09-28 15:35:53,vagnerpirajá,"R$ 43,34"
80,Pacote 50 Lances,2021-09-28 15:00:00,2021-09-28 15:10:05,Epmoura,"R$ 2,25"
81,PIX de 200,2021-09-28 14:00:00,2021-09-28 14:09:46,SaiForaMeu,"R$ 3,70"
82,Pacote 100 Lances,2021-09-28 12:00:00,2021-09-28 12:43:19,sromar,"R$ 7,24"
83,Pacote 50 Lances,2021-09-28 09:00:00,2021-09-28 09:59:01,sromar,"R$ 6,58"
84,Chaise Hungria Trama,2021-09-28 08:00:00,2021-09-28 09:51:37,Kaka-lima77,"R$ 15,11"
85,Esteira Ergométrica El,2021-09-28 07:00:00,2021-09-28 07:18:32,jocéliop,"R$ 3,05"
86,Pacote 50 Lances,2021-09-28 06:00:00,2021-09-28 06:18:20,email,"R$ 3,34"
87,GoPro HERO 9,2021-09-27 20:00:00,2021-09-28 03:01:35,_cyber_,"R$ 36,81"
88,A Intel Core,2021-09-27 22:00:00,2021-09-28 02:01:53,email,"R$ 26,81"
89,Apple Watch Series,2021-09-27 19:00:00,2021-09-28 01:43:59,Jrmaverick13,"R$ 39,39"
90,Samsung Galaxy S20,2021-09-27 20:30:00,2021-09-28 00:33:45,Beraldo2000,"R$ 36,33"
91,Pacote 100 Lances,2021-09-27 23:00:00,2021-09-27 23:07:17,25100219,"R$ 1,83"
92,Pacote 100 Lances,2021-09-27 21:00:00,2021-09-27 22:13:44,DANIEL225,"R$ 9,55"
93,Impressora Canon Pixma,2021-09-27 19:30:00,2021-09-27 20:54:57,mariaodete,"R$ 11,48"
94,iPhone 12 Pro,2021-09-27 10:00:00,2021-09-27 20:08:01,Cleiton_EUA,"R$ 88,82"
95,Cervejeira Metalfrio VN50FL,2021-09-27 17:00:00,2021-09-27 19:41:11,maabergamo,"R$ 15,85"
96,Pacote 50 Lances,2021-09-27 18:00:00,2021-09-27 18:09:38,Denaogoncalves,"R$ 2,00"
97,Smart TV 75,2021-09-27 16:00:00,2021-09-27 17:45:02,joãominas83,"R$ 16,13"
98,Pacote 50 Lances,2021-09-27 15:00:00,2021-09-27 16:07:59,DANIEL225,"R$ 8,79"
99,PIX de 1.000,2021-09-27 08:00:00,2021-09-27 15:19:48,email,"R$ 45,03"
100,Bicicleta Aro 29,2021-09-27 13:00:00,2021-09-27 14:32:07,flavianbc,"R$ 10,84"
